Feature,Mutual Information
ts,0.6822039273171219
src_ip,0.6701329187127029
src_port,0.3574557838437209
dst_ip,0.4125929907782915
dst_port,0.5047912068724212
proto,0.19969214884482445
service,0.10627338632428751
duration,0.15499800981884637
src_bytes,0.19282628350093933
dst_bytes,0.18789659323783225
conn_state,0.2176336828207217
missed_bytes,0.0060299050626357875
src_pkts,0.12187579780866908
src_ip_bytes,0.4814633169141429
dst_pkts,0.0898038266345138
dst_ip_bytes,0.3504181956662371
dns_query,0.13900177378398526
dns_qclass,0.050818072708633144
dns_qtype,0.07985042676311838
dns_rcode,0.014251709696935011
dns_AA,0.08804427888257305
dns_RD,0.09691450484894171
dns_RA,0.0909955970719154
dns_rejected,0.11972711440968076
ssl_version,0.0023276726653587154
ssl_cipher,0.002024242047048208
ssl_resumed,0.004359813224148468
ssl_established,0.0030613786576303426
ssl_subject,0.0
ssl_issuer,0.00039845687102402216
http_trans_depth,0.0011244664643836888
http_method,0.0010768605211119997
http_uri,0.0017691264371544335
http_version,0.0018445359092187363
http_request_body_len,0.0013104701990400702
http_response_body_len,0.00043399226631501975
http_status_code,0.0016509787320857505
http_user_agent,0.0020255734709340167
http_orig_mime_types,0.00019027672670302032
http_resp_mime_types,0.00042928313333967516
weird_name,0.005309465179844652
weird_addl,0.003578021486317917
weird_notice,0.0037361407486578013
