Feature,Mutual Information,Redundancy,GMI
ts,0.6822039273171219,0.0,0.6822039273171219
http_request_body_len,0.0013104701990400702,0.0,0.0013104701990400702
ssl_subject,0.0,0.0,0.0
src_ip,0.6701329187127029,0.687154204846051,-0.01702128613334819
ssl_issuer,0.00039845687102402216,0.16000837602409146,-0.15960991915306744
ssl_established,0.0030613786576303426,0.18556913889692211,-0.18250776023929177
proto,0.19969214884482445,0.4091921509162557,-0.20950000207143127
weird_notice,0.0037361407486578013,0.25768789896106686,-0.25395175821240906
http_uri,0.0017691264371544335,0.26778214496663366,-0.26601301852947923
ssl_version,0.0023276726653587154,0.30733381931913195,-0.30500614665377324
http_user_agent,0.0020255734709340167,0.34478774116707567,-0.34276216769614165
src_ip_bytes,0.4814633169141429,0.8512300925031837,-0.3697667755890408
dst_port,0.5047912068724212,0.8861700797624089,-0.38137887288998773
ssl_resumed,0.004359813224148468,0.4167390960990434,-0.41237928287489495
weird_addl,0.003578021486317917,0.4262639001592425,-0.42268587867292456
http_status_code,0.0016509787320857505,0.4263869626036722,-0.42473598387158645
ssl_cipher,0.002024242047048208,0.5422088894875308,-0.5401846474404826
weird_name,0.005309465179844652,0.5848423855022851,-0.5795329203224404
dst_ip_bytes,0.3504181956662371,0.9525175082540177,-0.6020993125877806
http_version,0.0018445359092187363,0.6050973352814054,-0.6032527993721867
dns_rejected,0.11972711440968076,0.7438115490197252,-0.6240844346100445
src_port,0.3574557838437209,1.067282332371703,-0.709826548527982
dst_ip,0.4125929907782915,1.2451026830868699,-0.8325096923085784
dns_RA,0.0909955970719154,1.195387227639831,-1.1043916305679156
http_trans_depth,0.0011244664643836888,1.1116371357513035,-1.1105126692869198
missed_bytes,0.0060299050626357875,1.1434909808063192,-1.1374610757436834
http_method,0.0010768605211119997,1.15343099599397,-1.152354135472858
conn_state,0.2176336828207217,1.3707401254816958,-1.153106442660974
dns_AA,0.08804427888257305,1.3245602106659373,-1.2365159317833643
dns_query,0.13900177378398526,1.4606186391334517,-1.3216168653494664
dst_bytes,0.18789659323783225,1.6871830858529147,-1.4992864926150824
dns_RD,0.09691450484894171,1.607358898947958,-1.5104443940990162
src_bytes,0.19282628350093933,1.928336766923945,-1.7355104834230057
http_orig_mime_types,0.00019027672670302032,1.7990048408892654,-1.7988145641625624
http_resp_mime_types,0.00042928313333967516,1.8646328692655258,-1.8642035861321862
duration,0.15499800981884637,2.040585294705863,-1.8855872848870165
src_pkts,0.12187579780866908,2.1871438416824986,-2.0652680438738296
dns_qtype,0.07985042676311838,2.1715395021492974,-2.0916890753861788
dns_rcode,0.014251709696935011,2.1809297336682434,-2.1666780239713086
service,0.10627338632428751,2.3192326139080865,-2.212959227583799
http_response_body_len,0.00043399226631501975,2.7054464723037706,-2.7050124800374555
dst_pkts,0.0898038266345138,2.920701539151845,-2.8308977125173316
dns_qclass,0.050818072708633144,2.995261774306538,-2.944443701597905
