Feature,Mutual Information,Redundancy,GMI
491,0.5680823202865137,0.0,0.5680823202865137
1,0.35447070827929616,0.2972088854562148,0.05726182282308134
0.16,0.00040737060005979764,0.0,0.00040737060005979764
0.9,0.00012666734692445836,0.0,0.00012666734692445836
0.2,0.0,0.0,0.0
0.13,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.1,0.4465130205367216,0.4814166112680531,-0.03490359073133148
0.20,0.26370311076943476,0.43793327564235296,-0.1742301648729182
0.23,0.35903659919811215,0.6160397916068822,-0.25700319240877
0.12,0.0024556959720183347,0.2685396364196781,-0.26608394044765976
0.7,0.29040266666778347,0.5860281226502964,-0.2956254559825129
0.4,0.0015592725150059827,0.335667273166796,-0.33410800065179
25,0.3427724068239357,0.6769341798385456,-0.3341617730146099
0.10,0.0033433687404438306,0.35974739148845597,-0.35640402274801214
0.27,0.27456803548214626,0.6554337800938791,-0.38086574461173284
0.25,0.19383462882823332,0.6132189338680631,-0.4193843050398298
0.26,0.2807731928683852,0.7159147821948811,-0.43514158932649594
0.14,0.003717657136473873,0.5168224816986707,-0.5131048245621969
0.19,0.27321961140172557,0.8175605537129894,-0.5443409423112638
0.03,0.29157909410697247,0.8931746588991805,-0.601595564792208
2,0.27297250576688437,0.9617269812778633,-0.6887544755109789
0.17,0.3097220894645629,1.1049257495616829,-0.79520366009712
0.28,0.0629885478451866,0.8808888943685038,-0.8179003465233172
0.24,0.10431518640098081,0.9499810582860646,-0.8456658718850838
150,0.14304792532859611,0.9988651532194669,-0.8558172278908708
0.11,0.0029375585096922396,0.8914987191144161,-0.8885611606047239
0.3,0.006014731781232241,0.9527001739181681,-0.9466854421369358
0.17.1,0.1433378303507986,1.274371612864489,-1.1310337825136905
0.22,0.041924431906969595,1.1817739047195348,-1.1398494728125652
0,0.029314853286999343,1.1879103212429616,-1.1585954679559622
0.21,0.04433917019775002,1.6061230935802295,-1.5617839233824795
0.5,0.007403834214328331,2.0842198595885137,-2.0768160253741854
2.1,0.08241540734686414,2.37986716926832,-2.2974517619214563
0.8,0.003665317700702442,2.421147038823216,-2.4174817211225137
0.05,0.036947841033772466,2.4836448367631925,-2.44669699572942
0.6,0.00010022646884322306,14.123224161259015,-14.123123934790172
0.18,0.0004969529981702081,15.274952050276909,-15.27445509727874
